sale_id,order_id,product_id,quantity,unit_price,discount,total_amount
SALE000001,ORD00001,PROD021,3,4513.72,0.08,12457.87
SALE000002,ORD00001,PROD026,3,3201.51,0.06,9028.26
SALE000003,ORD00001,PROD045,2,3884.53,0.03,7535.99
SALE000004,ORD00002,PROD007,3,2406.29,0.1,6496.98
SALE000005,ORD00002,PROD010,3,2324.26,0.24,5299.31
SALE000006,ORD00002,PROD011,2,3935.83,0.11,7005.78
SALE000007,ORD00002,PROD029,4,2616.12,0.07,9731.97
SALE000008,ORD00002,PROD030,1,793.34,0.02,777.47
SALE000009,ORD00003,PROD046,1,3323.78,0.05,3157.59
SALE000010,ORD00003,PROD045,3,3884.53,0.04,11187.45
SALE000011,ORD00003,PROD039,2,109.94,0.24,167.11
SALE000012,ORD00004,PROD033,3,3417.13,0.21,8098.6
SALE000013,ORD00004,PROD004,2,792.74,0.01,1569.63
SALE000014,ORD00004,PROD044,4,1781.03,0.21,5628.05
SALE000015,ORD00004,PROD020,2,240.21,0.02,470.81
SALE000016,ORD00005,PROD009,1,2002.66,0.0,2002.66
SALE000017,ORD00006,PROD009,4,2002.66,0.09,7289.68
SALE000018,ORD00006,PROD013,1,4778.91,0.15,4062.07
SALE000019,ORD00007,PROD005,4,1657.15,0.2,5302.88
SALE000020,ORD00007,PROD002,1,535.51,0.23,412.34
SALE000021,ORD00007,PROD013,3,4778.91,0.03,13906.63
SALE000022,ORD00008,PROD004,4,792.74,0.12,2790.44
SALE000023,ORD00008,PROD011,4,3935.83,0.17,13066.96
SALE000024,ORD00008,PROD037,2,406.82,0.09,740.41
SALE000025,ORD00008,PROD028,2,379.93,0.07,706.67
SALE000026,ORD00009,PROD010,3,2324.26,0.12,6136.05
SALE000027,ORD00009,PROD003,4,2466.79,0.02,9669.82
SALE000028,ORD00009,PROD040,3,4784.68,0.1,12918.64
SALE000029,ORD00009,PROD016,4,3456.27,0.05,13133.83
SALE000030,ORD00010,PROD016,3,3456.27,0.12,9124.55
SALE000031,ORD00010,PROD041,4,3700.67,0.09,13470.44
SALE000032,ORD00010,PROD035,3,469.72,0.1,1268.24
SALE000033,ORD00010,PROD002,2,535.51,0.01,1060.31
SALE000034,ORD00010,PROD025,2,4480.83,0.01,8872.04
SALE000035,ORD00011,PROD004,3,792.74,0.19,1926.36
SALE000036,ORD00011,PROD031,2,3700.3,0.24,5624.46
SALE000037,ORD00011,PROD034,1,256.28,0.06,240.9
SALE000038,ORD00012,PROD018,1,1310.62,0.19,1061.6
SALE000039,ORD00012,PROD035,2,469.72,0.14,807.92
SALE000040,ORD00013,PROD023,3,3204.15,0.2,7689.96
SALE000041,ORD00013,PROD012,3,4465.82,0.23,10316.04
SALE000042,ORD00013,PROD016,1,3456.27,0.18,2834.14
SALE000043,ORD00013,PROD038,3,402.72,0.24,918.2
SALE000044,ORD00014,PROD010,3,2324.26,0.04,6693.87
SALE000045,ORD00014,PROD037,1,406.82,0.02,398.68
SALE000046,ORD00014,PROD013,2,4778.91,0.15,8124.15
SALE000047,ORD00014,PROD032,1,2585.5,0.13,2249.38
SALE000048,ORD00014,PROD035,1,469.72,0.08,432.14
SALE000049,ORD00015,PROD013,3,4778.91,0.01,14193.36
SALE000050,ORD00015,PROD009,2,2002.66,0.15,3404.52
SALE000051,ORD00015,PROD022,2,2334.31,0.19,3781.58
SALE000052,ORD00015,PROD046,3,3323.78,0.24,7578.22
SALE000053,ORD00015,PROD012,3,4465.82,0.18,10985.92
SALE000054,ORD00016,PROD038,3,402.72,0.03,1171.92
SALE000055,ORD00016,PROD007,2,2406.29,0.18,3946.32
SALE000056,ORD00016,PROD022,4,2334.31,0.2,7469.79
SALE000057,ORD00016,PROD020,4,240.21,0.16,807.11
SALE000058,ORD00017,PROD046,3,3323.78,0.06,9373.06
SALE000059,ORD00017,PROD036,2,3595.8,0.09,6544.36
SALE000060,ORD00018,PROD009,1,2002.66,0.24,1522.02
SALE000061,ORD00018,PROD012,4,4465.82,0.21,14111.99
SALE000062,ORD00018,PROD047,1,966.72,0.05,918.38
SALE000063,ORD00019,PROD040,1,4784.68,0.23,3684.2
SALE000064,ORD00019,PROD015,2,1611.26,0.08,2964.72
SALE000065,ORD00019,PROD041,1,3700.67,0.06,3478.63
